Epoch,Train_Loss,Valid_Loss,Train_acc,Val_acc
1,2.2024756989707073,1.4978881571903702,0.3918582847618515,0.5538056889185201
2,1.6041268496899992,1.249954873865301,0.5276971781959358,0.6202726160325546
3,1.4401355865343692,1.137280031176638,0.5704231435700167,0.6516807798786115
4,1.3433380882854025,1.0727951713829986,0.596523179649269,0.6676409728969417
5,1.2793613930006285,1.0263214352702306,0.6134529877178094,0.6807595523340665
6,1.2275912424630782,0.9916795723694415,0.6284111408666134,0.6904633171671674
7,1.1880149070537511,0.9637994677567285,0.637939112450391,0.6976628846239842
8,1.1555124449382947,0.9415069808644697,0.6469416481612286,0.7032607414212946
9,1.127497109206947,0.9226010008291765,0.6547093587548084,0.7083748328163684
10,1.1019953288556137,0.9062368894411512,0.6613692838522478,0.7129604409989145
11,1.0799798656897832,0.8918434470153052,0.6676724816935906,0.7176354848020424
12,1.061113829300458,0.8767563360781709,0.6725609663141741,0.7213186062678109
13,1.0432719166957911,0.8659314010754104,0.6770164999059907,0.7243512868566225
14,1.026489448770416,0.8610729417525047,0.6820686115585729,0.7253310134275388
15,1.0113949216824807,0.8496670077654941,0.6861226999476597,0.7284124770821222
16,0.9966635160039715,0.8404867890452551,0.6900497487156294,0.7311199372324554
17,0.9838517827452344,0.8308330350670933,0.693629217080223,0.734144487310305
18,0.970404061111244,0.8242750399368853,0.6974902052452119,0.735815307312988
19,0.9590168813410024,0.8201610510014306,0.7007698601039692,0.737522714615
20,0.9469752156808817,0.8138146380747645,0.703579976523078,0.738571550529093
21,0.9349936705369216,0.8052370735436432,0.7073738877681172,0.7410310300950863
22,0.9238318182574489,0.8026415833756944,0.7099177291413646,0.7425717619223781
23,0.9149242561473172,0.7980998330865025,0.7125794632830087,0.7433929435295361
24,0.9033522624483723,0.7918374843833861,0.7153682370457698,0.7455678552118608
25,0.8940866506521022,0.7889896271642575,0.7184832485555596,0.7460841426579453
26,0.884361623726367,0.7853135274461478,0.7211185584560112,0.7474622642659978
27,0.8773520564091181,0.7827827418146055,0.7230790338890893,0.7479013118579437
28,0.8684301330493047,0.7790087023057228,0.7256472668695912,0.7492956944879201
29,0.8601212518874424,0.7755442936558369,0.7275061106057757,0.7505355974096192
30,0.8518738928802791,0.7735869534744704,0.7298029869555717,0.7506738160959725
31,0.8434965943844056,0.7743862926467391,0.7323224367215647,0.7507673169720351
32,0.837223946800351,0.7690340635205103,0.7340928608814518,0.7528243362454113
33,0.8307601427833652,0.7649469099754145,0.7353785018471561,0.7532349270489904
34,0.8240476281628044,0.7640807544889529,0.7379853548724776,0.7538609763930614
35,0.8169772385807395,0.7609752549612818,0.7397750890547744,0.7546984190221434
36,0.8110757926149824,0.7601688144620785,0.7413198908475576,0.7550927488037986
37,0.8053890190352521,0.7611306669298282,0.7427427346040684,0.754783789387244
38,0.8007994522176017,0.7589730462752098,0.7442794058611,0.755206575957266
39,0.794195396736605,0.7586323431700714,0.7460223894628256,0.7561619109952965
40,0.7874877519766159,0.7555476722638469,0.7478050094263399,0.7570928545004411
41,0.7840110427872307,0.7558442782764593,0.7489473496994242,0.7569708968360117
42,0.7786951367423837,0.7504270598908102,0.7503762913577486,0.758381540487912
43,0.7743416013440074,0.7537098876700914,0.7517706782391292,0.7577798826767268
44,0.7686936954450706,0.7524084818264669,0.7529435080212816,0.7586661083715807
45,0.7655765685618792,0.7530178841480539,0.7540157224235094,0.7582961701228114
